timestamp,rpm,temperature,oil_pressure,vibration,fuel_rate
2026-08-01T06:00:00,2406.1,90.77,41.12,0.988,5.53
2026-08-01T06:00:30,2384.5,92.37,41.91,1.041,5.74
2026-08-01T06:01:00,2425.6,92.56,40.24,1.1,5.56
2026-08-01T06:01:30,2434.7,94.08,40.53,0.945,5.65
2026-08-01T06:02:00,2382.1,93.6,44.13,1.029,5.58
2026-08-01T06:02:30,2400.1,93.17,40.71,1.166,5.58
2026-08-01T06:03:00,2433.7,94.64,40.9,0.997,5.51
2026-08-01T06:03:30,2429.7,91.6,43.84,0.999,5.72
2026-08-01T06:04:00,2440.3,92.4,44.91,1.088,5.54
2026-08-01T06:04:30,2428.1,92.19,40.83,1.146,5.79
2026-08-01T06:05:00,2467.1,92.97,41.63,1.085,5.87
2026-08-01T06:05:30,2469.1,91.92,42.34,1.195,5.78
2026-08-01T06:06:00,2458.7,94.46,43.73,1.162,5.7
2026-08-01T06:06:30,2483.5,93.55,41.01,1.164,5.83
2026-08-01T06:07:00,2473.6,92.17,41.75,1.143,5.73
2026-08-01T06:07:30,2450.1,92.83,42.78,1.286,5.94
2026-08-01T06:08:00,2477.4,94.53,42.43,1.084,5.54
2026-08-01T06:08:30,2453.3,95.26,41.62,0.939,5.77
2026-08-01T06:09:00,2492.1,96.75,41.87,1.226,5.54
2026-08-01T06:09:30,2475.3,97.94,40.63,1.058,5.62
2026-08-01T06:10:00,2474.1,95.02,41.76,1.1,6.06
2026-08-01T06:10:30,2465.2,93.41,41.73,1.191,6.0
2026-08-01T06:11:00,2504.0,92.12,42.23,0.953,5.77
2026-08-01T06:11:30,2476.9,95.06,41.44,0.974,5.66
2026-08-01T06:12:00,2471.4,93.82,42.47,0.939,5.44
2026-08-01T06:12:30,2472.6,94.35,43.01,0.996,5.81
2026-08-01T06:13:00,2489.6,94.16,42.16,1.087,6.26
2026-08-01T06:13:30,2485.2,94.76,42.35,1.085,5.96
2026-08-01T06:14:00,2484.8,96.24,42.05,1.056,5.82
2026-08-01T06:14:30,2483.4,95.17,42.0,0.911,5.97
2026-08-01T06:15:00,2515.6,94.8,41.28,0.829,5.66
2026-08-01T06:15:30,2462.2,93.76,42.32,1.009,5.85
2026-08-01T06:16:00,2457.4,92.99,41.9,0.956,5.91
2026-08-01T06:16:30,2448.4,94.41,44.09,1.021,5.87
2026-08-01T06:17:00,2473.7,94.91,43.57,1.031,6.0
2026-08-01T06:17:30,2480.4,97.07,42.39,0.976,5.92
2026-08-01T06:18:00,2451.8,95.08,41.24,1.017,5.96
2026-08-01T06:18:30,2433.2,96.06,40.89,0.965,5.75
2026-08-01T06:19:00,2429.2,94.24,43.19,0.981,5.98
2026-08-01T06:19:30,2454.3,93.36,42.26,0.875,6.08
2026-08-01T06:20:00,2451.4,93.57,42.48,0.91,5.67
2026-08-01T06:20:30,2442.6,93.79,40.26,0.934,5.67
2026-08-01T06:21:00,2413.5,97.14,42.93,0.978,5.99
2026-08-01T06:21:30,2426.4,93.53,42.45,0.877,5.74
2026-08-01T06:22:00,2418.9,95.43,40.89,0.947,5.97
2026-08-01T06:22:30,2415.7,93.25,41.53,0.881,5.67
2026-08-01T06:23:00,2423.4,95.36,42.26,0.891,5.94
2026-08-01T06:23:30,2405.1,94.6,42.05,0.966,5.72
2026-08-01T06:24:00,2408.9,93.84,41.71,0.741,5.72
2026-08-01T06:24:30,2391.4,93.86,41.9,0.798,5.9
2026-08-01T06:25:00,2390.5,93.01,41.75,0.786,5.59
2026-08-01T06:25:30,2392.2,94.21,42.15,0.721,5.48
2026-08-01T06:26:00,2345.3,93.0,43.47,0.857,5.53
2026-08-01T06:26:30,2363.1,91.95,39.43,0.977,5.65
2026-08-01T06:27:00,2355.2,91.75,41.76,0.9,5.32
2026-08-01T06:27:30,2347.1,93.35,42.18,0.945,5.63
2026-08-01T06:28:00,2349.9,94.9,42.3,1.024,5.43
2026-08-01T06:28:30,2381.0,93.05,41.63,1.051,5.66
2026-08-01T06:29:00,2329.6,92.58,40.24,0.948,5.11
2026-08-01T06:29:30,2362.4,92.91,42.33,1.071,5.33
2026-08-01T06:30:00,2305.8,93.99,43.73,0.979,5.17
2026-08-01T06:30:30,2329.4,92.54,40.47,0.915,5.28
2026-08-01T06:31:00,2336.3,91.63,42.86,0.944,5.42
2026-08-01T06:31:30,2342.0,93.3,41.67,0.883,5.33
2026-08-01T06:32:00,2342.0,92.34,41.94,0.941,5.3
2026-08-01T06:32:30,2341.5,93.52,40.95,0.993,5.3
2026-08-01T06:33:00,2316.9,91.75,41.67,1.095,5.33
2026-08-01T06:33:30,2313.2,89.91,43.3,1.178,5.13
2026-08-01T06:34:00,2338.4,89.59,42.58,0.939,5.37
2026-08-01T06:34:30,2316.7,93.07,43.73,1.089,5.34
2026-08-01T06:35:00,2294.6,93.02,43.18,0.982,5.29
2026-08-01T06:35:30,2297.4,90.59,42.44,1.111,5.3
2026-08-01T06:36:00,2301.9,90.21,43.74,1.069,5.24
